,Actor Ranking,Title,Year,Genre,Rating
0,1,Mord im Orient-Express,(2017),"Crime, Drama, Mystery",6.5
1,1,Fluch der Karibik,(2003),"Action, Adventure, Fantasy",8.1
2,1,21 Jump Street,(2012),"Action, Comedy, Crime",7.2
3,1,Tusk, (2014),"Comedy, Horror",5.3
4,1,Charlie und die Schokoladenfabrik,(2005),"Adventure, Comedy, Family",6.7
5,1,Phantastische Tierwesen: Grindelwalds Verbrechen,(2018),"Adventure, Family, Fantasy",6.5
6,1,Phantastische Tierwesen und wo sie zu finden sind,(2016),"Adventure, Family, Fantasy",7.2
7,1,Die neun Pforten,(1999),"Mystery, Thriller",6.7
8,1,Pirates of the Caribbean: Salazars Rache,(2017),"Action, Adventure, Fantasy",6.5
9,1,Edward mit den Scherenhänden,(1990),"Drama, Fantasy, Romance",7.9
10,1,Alice im Wunderland, (2010),"Adventure, Family, Fantasy",6.4
11,1,Warten auf die Barbaren,(2019),Drama,5.9
12,1,Platoon,(1986),"Drama, War",8.1
13,1,Gilbert Grape - Irgendwo in Iowa,(1993),Drama,7.7
14,1,Pirates of the Caribbean - Fluch der Karibik 2,(2006),"Action, Adventure, Fantasy",7.3
15,1,Nightmare - Mörderische Träume,(1984),Horror,7.4
16,1,Public Enemies,(2009),"Action, Biography, Crime",7.0
17,1,Pirates of the Caribbean - Fremde Gezeiten,(2011),"Action, Adventure, Fantasy",6.6
18,1,Sleepy Hollow,(1999),"Fantasy, Horror, Mystery",7.3
19,1,Sweeney Todd: Der teuflische Barbier aus der Fleet Street,(2007),"Drama, Horror, Musical",7.3
20,1,Pirates of the Caribbean - Am Ende der Welt,(2007),"Action, Adventure, Fantasy",7.1
21,1,Black Mass,(2015),"Biography, Crime, Drama",6.9
22,1,Angst und Schrecken in Las Vegas,(1998),"Adventure, Comedy, Drama",7.5
23,1,Into the Woods,(2014),"Adventure, Comedy, Drama",5.9
24,1,Donnie Brasco,(1997),"Biography, Crime, Drama",7.7
25,1,Hugo Cabret,(2011),"Adventure, Drama, Family",7.5
26,1,Blow,(2001),"Biography, Crime, Drama",7.5
27,1,Rango,(2011),"Animation, Action, Adventure",7.2
28,1,Transcendence, (2014),"Action, Drama, Sci-Fi",6.2
30,1,From Hell,(2001),"Horror, Mystery, Thriller",6.7
31,1,The Tourist, (2010),"Action, Thriller",6.0
32,1,Corpse Bride - Hochzeit mit einer Leiche,(2005),"Animation, Drama, Family",7.3
33,1,Cry-Baby,(1990),"Comedy, Musical",6.5
34,1,Chocolat... ein kleiner Biss genügt!,(2000),"Drama, Romance",7.3
35,1,Alice im Wunderland: Hinter den Spiegeln,(2016),"Adventure, Family, Fantasy",6.2
36,1,Wenn Träume fliegen lernen,(2004),"Biography, Drama, Family",7.7
37,1,Das Kabinett des Doktor Parnassus,(2009),"Adventure, Comedy, Fantasy",6.8
38,1,Irgendwann in Mexico,(2003),"Action, Crime, Thriller",6.3
39,1,Dark Shadows,(2012),"Comedy, Fantasy, Horror",6.2
40,1,Ed Wood,(1994),"Biography, Comedy, Drama",7.8
41,1,Lone Ranger,(2013),"Action, Adventure, Western",6.4
42,1,Minamata,(2020),Drama,7.3
43,1,Dead Man,(1995),"Adventure, Drama, Fantasy",7.5
44,1,Jack und Jill, (2011),Comedy,3.3
45,1,London Fields,(2018),"Crime, Mystery, Thriller",3.9
46,1,Das geheime Fenster,(2004),"Drama, Mystery, Thriller",6.5
47,1,City of Lies,(2018),"Biography, Crime, Drama",6.5
48,1,Yoga Hosers,(2016),"Action, Comedy, Horror",4.2
49,1,The Professor, (2018),"Comedy, Drama",6.7
50,1,Rum Diary,(2011),"Comedy, Drama",6.1
51,1,On the Road - Unterwegs,(2012),"Adventure, Drama, Romance",6.0
52,1,Mortdecai - Der Teilzeitgauner,(2015),"Action, Adventure, Comedy",5.5
53,1,Benny und Joon,(1993),"Comedy, Drama, Romance",7.1
54,1,Die Superaufreißer,(1985),Comedy,5.2
55,1,Don Juan DeMarco,(1994),"Comedy, Drama, Romance",6.7
56,1,"The Libertine - Sex, Drugs & Rococo",(2004),"Biography, Drama, History",6.2
57,1,The Astronaut's Wife - Das Böse hat ein neues Gesicht,(1999),"Drama, Sci-Fi, Thriller",5.4
58,1,Arizona Dream,(1993),"Comedy, Drama, Fantasy",7.2
59,1,A Nightmare on Elm Street 6: Freddy's Finale,(1991),"Fantasy, Horror",4.7
60,1,Gegen die Zeit,(1995),"Action, Crime, Drama",6.3
61,1,Bevor es Nacht wird,(2000),"Biography, Drama, Romance",7.2
62,1,Sherlock Gnomes,(2018),"Animation, Adventure, Comedy",5.2
63,1,In stürmischen Zeiten,(2000),"Drama, Music, Romance",6.1
65,1,The Brave,(1997),Drama,6.1
66,1,Happy End mit Hindernissen,(2004),"Comedy, Drama, Music",6.4
67,1,Lucky Them - Auf der Suche nach Matthew Smith,(2013),"Comedy, Drama",6.1
68,1,L.A. Without a Map,(1998),"Comedy, Drama, Romance",6.1
71,1,Cannes Man,(1997),"Comedy, Drama",5.1
73,1,Stuntmen,(2009),Comedy,4.9
74,1,Unloveable,(2009),Drama,8.5
87,1,Hope and Healing Award Concert,(2016),Null,8.8
93,1,"7 Days,7 Girls",(2017),Mystery,5.5
94,2,Once Upon a Time In... Hollywood,(2019),"Comedy, Drama",7.6
95,2,Der Pate,(1972),"Crime, Drama",9.2
96,2,Heat,(1995),"Action, Crime, Drama",8.3
97,2,Scarface,(1983),"Crime, Drama",8.3
98,2,Der Pate 2,(1974),"Crime, Drama",9.0
99,2,House of Gucci,(2021),"Biography, Crime, Drama",6.6
100,2,The Irishman,(2019),"Biography, Crime, Drama",7.8
101,2,Der Pate 3,(1990),"Crime, Drama",7.6
102,2,Im Auftrag des Teufels,(1997),"Drama, Mystery, Thriller",7.5
103,2,Der Duft der Frauen,(1992),Drama,8.0
104,2,Dick Tracy,(1990),"Action, Comedy, Crime",6.2
105,2,Insomnia - Schlaflos,(2002),"Drama, Mystery, Thriller",7.2
106,2,Hundstage,(1975),"Biography, Crime, Drama",8.0
107,2,Glengarry Glen Ross,(1992),"Crime, Drama, Mystery",7.7
108,2,Donnie Brasco,(1997),"Biography, Crime, Drama",7.7
109,2,Kurzer Prozess - Righteous Kill,(2008),"Crime, Mystery, Thriller",6.0
110,2,Carlito's Way,(1993),"Crime, Drama, Thriller",7.9
111,2,Der Einsatz,(2003),"Action, Thriller",6.6
112,2,Ocean's 13,(2007),"Crime, Thriller",6.9
113,2,Serpico,(1973),"Biography, Crime, Drama",7.7
114,2,Cruising,(1980),"Crime, Drama, Mystery",6.5
115,2,Insider,(1999),"Biography, Drama, Thriller",7.8
116,2,Im Namen des Vaters,(1993),"Biography, Crime, Drama",8.1
117,2,An jedem verdammten Sonntag,(1999),"Drama, Sport",6.9
118,2,Jack und Jill, (2011),Comedy,3.3
119,2,Stand Up Guys,(2012),"Comedy, Crime, Thriller",6.4
120,2,...und Gerechtigkeit für alle,(1979),"Crime, Drama, Thriller",7.4
121,2,Liebe mit Risiko - Gigli,(2003),"Comedy, Crime, Romance",2.6
122,2,Arbitrage - Macht ist das beste Alibi,(2012),"Drama, Thriller",6.6
123,2,88 Minuten,(2007),"Crime, Drama, Mystery",5.9
124,2,Frankie und Johnny,(1991),"Comedy, Drama, Romance",6.7
125,2,Panik im Needle Park,(1971),Drama,7.0
126,2,Stay Alive: Überleben um jeden Preis,(XXI) (2020),"Horror, Thriller",5.0
127,2,Das schnelle Geld,(2005),"Crime, Drama, Sport",6.2
128,2,Ruf der Macht - Im Sumpf der Korruption,(2016),"Crime, Drama, Mystery",5.3
129,2,Melodie des Todes,(1989),"Crime, Drama, Mystery",6.8
130,2,Asphalt-Blüten,(1973),Drama,7.2
131,2,Der Kaufmann von Venedig,(2004),"Drama, Romance",7.0
132,2,City Hall,(1996),"Crime, Drama, Mystery",6.2
133,2,S1m0ne,(2002),"Comedy, Drama, Sci-Fi",6.1
134,2,The Pirates of Somalia,(2017),"Biography, Drama",6.7
135,2,American Traitor: The Trial of Axis Sally,(2021),Drama,5.6
136,2,Hangman: The Killing Game,(II) (2017),"Crime, Drama, Mystery",5.2
138,2,Salomé,(2013),Drama,6.4
141,2,Revolution,(1985),"Adventure, Drama, History",5.3
142,2,Mr. Collins' zweiter Frühling,(2015),"Biography, Comedy, Drama",7.0
143,2,Ein Cop mit dunkler Vergangenheit,(2011),"Action, Crime, Drama",5.1
145,2,Der letzte Akt,(2014),"Comedy, Drama, Romance",5.6
146,2,Bobby Deerfield,(1977),"Drama, Romance",5.8
147,2,Manglehorn - Schlüssel zum Glück,(2014),Drama,5.5
148,2,"Ich, Natalie",(1969),"Comedy, Drama",6.5
149,2,Chinese Coffee,(2000),Drama,7.1
150,2,Daddy! Daddy! Fünf Nervensägen und ein Vater,(1982),"Comedy, Drama, Family",6.2
151,2,Im inneren Kreis,(2002),"Crime, Drama",5.4
152,2,Two Bits,(1995),"Comedy, Drama",6.1
154,2,The Local Stigmatic,(1990),Drama,5.7
155,2,No somos animales,(2013),"Comedy, Drama",4.9
156,2,Explicit Ills,(2008),"Drama, Romance",5.5
157,2,Mantus,(2014),"Comedy, Drama, Thriller",3.3
158,3,Amsterdam,(2022),"Comedy, Drama, History",6.1
160,3,Heat,(1995),"Action, Crime, Drama",8.3
161,3,Joker, (2019),"Crime, Drama, Thriller",8.4
162,3,GoodFellas - Drei Jahrzehnte in der Mafia,(1990),"Biography, Crime, Drama",8.7
163,3,Der Pate 2,(1974),"Crime, Drama",9.0
164,3,American Hustle,(2013),"Crime, Drama",7.2
165,3,Taxi Driver,(1976),"Crime, Drama",8.2
166,3,Casino,(1995),"Crime, Drama",8.2
167,3,The Irishman,(2019),"Biography, Crime, Drama",7.8
168,3,Zeiten des Umbruchs,(2022),Drama,6.6
169,3,Es war einmal in Amerika,(1984),"Crime, Drama",8.3
170,3,Die durch die Hölle gehen,(1978),"Drama, War",8.1
171,3,Der Sternwanderer,(2007),"Adventure, Family, Fantasy",7.6
172,3,Sleepers,(1996),"Crime, Drama, Thriller",7.5
173,3,Pfad der Vergeltung,(2022),"Action, Thriller",4.5
174,3,In den Straßen der Bronx,(1993),"Crime, Drama",7.8
175,3,About a Boy oder: Der Tag der toten Ente,(2002),"Comedy, Drama, Romance",7.1
176,3,Silver Linings,(2012),"Comedy, Drama, Romance",7.7
177,3,The Untouchables - Die Unbestechlichen,(1987),"Crime, Drama, Thriller",7.8
178,3,Ohne Limit, (2011),"Sci-Fi, Thriller",7.4
179,3,Kap der Angst,(1991),"Crime, Thriller",7.3
180,3,Public Enemies,(2009),"Action, Biography, Crime",7.0
181,3,Wie ein wilder Stier,(1980),"Biography, Drama, Sport",8.2
182,3,Jackie Brown,(1997),"Crime, Drama, Thriller",7.5
183,3,The Score,(2001),"Action, Crime, Drama",6.8
184,3,Man lernt nie aus, (2015),"Comedy, Drama",7.1
185,3,Happy New Year,(2011),"Comedy, Romance",5.6
186,3,Brazil,(1985),"Drama, Sci-Fi",7.9
187,3,Kurzer Prozess - Righteous Kill,(2008),"Crime, Mystery, Thriller",6.0
188,3,Zeit des Erwachens,(1990),"Biography, Drama",7.8
189,3,"Meine Braut, ihr Vater und ich",(2000),"Comedy, Romance",7.0
190,3,Malavita - The Family, (2013),"Comedy, Crime, Thriller",6.3
191,3,Große Haie - Kleine Fische,(2004),"Animation, Adventure, Comedy",6.0
192,3,Cop Land,(1997),"Crime, Drama, Thriller",7.0
193,3,Ronin,(1998),"Action, Crime, Thriller",7.2
194,3,King of Comedy,(1982),"Comedy, Crime, Drama",7.8
195,3,Die Geschichte einer Jugend,(1993),"Biography, Drama",7.3
196,3,"Meine Frau, ihre Schwiegereltern und ich",(2004),"Comedy, Romance",6.3
197,3,Rent,(2005),"Drama, Musical, Romance",6.8
198,3,Große Erwartungen,(1998),"Drama, Romance",6.8
199,3,Dirty Grandpa,(2016),Comedy,5.9
200,3,Machete,(2010),"Action, Crime, Thriller",6.6
201,3,Der gute Hirte,(2006),"Drama, History, Thriller",6.7
202,3,Hexenkessel,(1973),"Crime, Drama, Thriller",7.2
203,3,Joy: Alles außer gewöhnlich, (2015),"Biography, Drama",6.6
204,3,Angel Heart,(1987),"Horror, Mystery, Thriller",7.2
205,3,Mission,(1986),"Adventure, Drama, History",7.4
206,3,Mary Shelleys Frankenstein,(1994),"Drama, Horror, Romance",6.3
207,3,Ich und Earl und das Mädchen,(2015),"Comedy, Drama, Romance",7.7
208,3,Midnight Run - 5 Tage bis Mitternacht,(1988),"Action, Comedy, Crime",7.5
209,3,Die Entführung von Bus 657,(III) (2015),"Action, Crime, Drama",6.1
210,3,Killer Elite,(2011),"Action, Crime, Thriller",6.4
211,3,"Backdraft - Männer, die durchs Feuer gehen",(1991),"Action, Drama, Mystery",6.7
212,3,Immer Ärger mit Grandpa,(2020),"Comedy, Drama, Family",5.6
213,3,1900,(1976),"Drama, History",7.7
214,3,Last Vegas,(2013),"Comedy, Drama",6.6
216,3,"Meine Frau, unsere Kinder und ich",(2010),"Comedy, Romance",5.5
217,3,Men of Honor,(2000),"Biography, Drama",7.2
218,3,Reine Nervensache,(1999),"Comedy, Crime",6.7
219,3,Arthur und die Minimoys,(2006),"Animation, Adventure, Comedy",6.0
220,3,Red Lights,(2012),"Drama, Fantasy, Mystery",6.2
221,3,The Comeback Trail,(2020),"Comedy, Crime",5.7
222,3,Hide and Seek - Du kannst dich nicht verstecken,(2005),"Horror, Mystery",5.9
223,3,Wag the Dog - Wenn der Schwanz mit dem Hund wedelt,(1997),"Comedy, Drama",7.1
224,3,Greetings - Grüße,(1968),"Comedy, Drama",5.7
226,3,Killing Season,(2013),"Action, Drama, Thriller",5.4
227,3,The Big Wedding,(2013),"Comedy, Drama, Romance",5.6
228,3,Hands of Stone,(2016),"Biography, Drama, Sport",6.6
229,3,Reine Nervensache 2,(2002),"Comedy, Crime",5.9
230,3,"Hi, Mom!",(1970),"Comedy, Drama",6.2
231,3,"New York, New York",(1977),"Drama, Music, Musical",6.6
232,3,Die Abenteuer von Rocky und Bullwinkle,(2000),"Animation, Adventure, Comedy",4.3
233,3,Pollock,(2000),"Biography, Drama",7.0
234,3,Zwei vom alten Schlag,(2013),"Comedy, Drama, Sport",6.4
235,3,Motel Room 13, (2014),"Action, Crime, Drama",5.2
236,3,Marvins Töchter,(1996),Drama,6.7
237,3,Everybody's Fine,(2009),"Adventure, Drama",7.1
238,3,Bullet Head,(2017),"Crime, Drama, Thriller",5.4
239,3,Stone,(2010),"Drama, Thriller",5.4
241,3,15 Minuten Ruhm,(2001),"Action, Crime, Drama",6.1
242,3,Wir sind keine Engel,(1989),"Comedy, Crime",6.1
244,3,Der letzte Tycoon,(1976),"Drama, Romance",6.3
245,3,Der Liebe verfallen,(1984),"Drama, Romance",6.5
246,3,The Fan,(1996),"Action, Drama, Sport",5.9
247,3,Halbblut,(1992),"Crime, Mystery, Thriller",6.8
248,3,Inside Hollywood,(2008),"Comedy, Drama",5.6
249,3,The Comedian - Wer zuletzt lacht,(III) (2016),"Comedy, Drama, Romance",5.8
250,3,Showtime,(2002),"Action, Comedy, Crime",5.5
251,3,Wo Gangster um die Ecke knallen,(1971),"Comedy, Crime",4.9
252,3,Sein Name ist Mad Dog,(1993),"Comedy, Crime, Drama",6.2
253,3,Makellos,(1999),"Crime, Drama",6.4
254,3,City by the Sea,(2002),"Crime, Drama, Mystery",6.1
255,3,Fesseln der Macht,(1981),"Crime, Drama",6.3
256,3,Schuldig bei Verdacht,(1991),Drama,6.5
257,3,Being Flynn,(2012),Drama,6.4
258,3,Stage Beauty,(2004),Drama,7.1
259,3,Panther, (1995),Drama,6.4
260,3,Das letzte Spiel,(1973),"Drama, Sport",6.8
261,3,Bloody Mama,(1970),"Crime, Drama",5.7
262,3,Godsend,(2004),"Action, Drama, Fantasy",4.8
263,3,Stanley und Iris,(1990),"Drama, Romance",6.3
264,3,Trucker,(2008),Drama,6.6
265,3,Freelancers,(2012),"Action, Crime, Drama",4.6
266,3,Jacknife - Vom Leben betrogen,(1989),Drama,6.4
267,3,Die Nacht mit meinem Traummann,(1993),"Comedy, Romance",6.0
269,3,Mistress - Die Geliebten von Hollywood,(1992),"Comedy, Drama",5.4
270,3,Born to Win,(1971),"Comedy, Crime, Drama",5.7
271,3,Die Nacht von Soho,(1992),"Crime, Drama",5.8
272,3,Drei Zimmer in Manhattan,(1965),Drama,6.5
273,3,101 Nacht - Die Träume des M. Cinema,(1995),"Comedy, History, Romance",6.4
274,3,The Wedding Party,(1969),Comedy,4.7
275,3,The Bridge of San Luis Rey,(2004),"Drama, History, Romance",5.0
277,3,Manuale d'am3re,(2011),"Comedy, Romance",5.9
278,3,Der Hochzeitstag,(1996),"Comedy, Crime, Drama",5.8
279,3,Prison Song,(2001),"Crime, Drama",6.3
280,3,Monument Ave.,(1998),"Crime, Drama, Thriller",6.6
281,3,Wer die Killer ruft,(1969),Drama,3.4
282,3,Entropy, (1999),"Comedy, Drama, Romance",6.2
284,3,Wie junge Wölfe,(1968),Drama,5.5
285,3,Jennifer on My Mind,(1971),Comedy,3.9
286,3,Man in the Chair,(2007),"Comedy, Drama",7.0
288,3,An Act of War,(2015),"Crime, Drama, Thriller",5.2
289,3,The Doorman,(2007),Comedy,5.9
294,3,Movies Are My Life,(1978),Null,6.6
300,4,Sieben,(1995),"Crime, Drama, Mystery",8.6
301,4,American Beauty,(1999),Drama,8.4
302,4,Die üblichen Verdächtigen,(1995),"Crime, Drama, Mystery",8.5
303,4,Baby Driver,(2017),"Action, Crime, Drama",7.6
304,4,The Social Network,(2010),"Biography, Drama",7.8
305,4,Der große Crash - Margin Call,(2011),"Drama, Thriller",7.1
306,4,L.A. Confidential,(1997),"Crime, Drama, Mystery",8.2
307,4,Kill the Boss,(2011),"Comedy, Crime",6.9
308,4,Superman Returns,(2006),"Action, Adventure, Sci-Fi",6.1
309,4,Das Leben des David Gale,(2003),"Crime, Drama, Thriller",7.5
310,4,Das große Krabbeln, (1998),"Animation, Adventure, Comedy",7.2
311,4,Die Jury,(1996),"Crime, Drama, Thriller",7.5
312,4,Moon,(2009),"Drama, Mystery, Sci-Fi",7.8
313,4,Captain Phillips,(2013),"Action, Biography, Crime",7.8
314,4,Kill the Boss 2,(2014),"Comedy, Crime",6.3
315,4,21,(2008),"Crime, Drama, History",6.8
316,4,Glengarry Glen Ross,(1992),"Crime, Drama, Mystery",7.7
317,4,Outbreak - Lautlose Killer,(1995),"Action, Drama, Thriller",6.6
318,4,Austin Powers in Goldständer,(2002),"Action, Adventure, Comedy",6.2
319,4,Henry & June,(1990),"Biography, Drama",6.3
320,4,L'uomo che disegnò Dio,(2022),Drama,6.0
321,4,Die Waffen der Frauen,(1988),"Comedy, Drama, Romance",6.8
322,4,Mitternacht im Garten von Gut und Böse,(1997),"Crime, Drama, Mystery",6.6
323,4,Das Glücksprinzip,(2000),Drama,7.2
324,4,Die Glücksjäger,(1989),"Comedy, Crime",6.8
325,4,Verhandlungssache,(1998),"Action, Crime, Drama",7.3
326,4,Safe - Todsicher, (2012),"Action, Crime, Thriller",6.5
327,4,Billionaire Boys Club,(2018),"Biography, Drama, Thriller",5.6
328,4,K-PAX - Alles ist möglich,(2001),"Drama, Mystery, Sci-Fi",7.4
329,4,"Männer, die auf Ziegen starren",(2009),"Comedy, War",6.2
330,4,Fanboys,(2009),"Adventure, Comedy, Crime",6.5
331,4,Elvis & Nixon,(2016),"Comedy, History",6.4
332,4,Rebel in the Rye,(2017),"Biography, Drama, Romance",6.7
333,4,Voll verkatert, (2016),"Comedy, Drama, Family",5.3
334,4,Cry Wolf,(2005),"Drama, Horror, Mystery",5.8
335,4,Die Gebrüder Weihnachtsmann,(2007),"Comedy, Family, Fantasy",5.6
336,4,Sodbrennen,(1986),"Comedy, Drama",6.1
337,4,No Panic - Gute Geiseln sind selten,(1994),"Comedy, Crime, Drama",6.9
338,4,Gewagtes Spiel,(1992),"Crime, Drama, Mystery",5.7
339,4,Schiffsmeldungen,(2001),Drama,6.7
340,4,Iron Will - Der Wille zum Sieg,(1994),"Adventure, Family",6.6
344,4,Ein ganz gewöhnlicher Dieb,(2000),"Comedy, Crime",6.3
345,4,Dad,(1989),"Comedy, Drama",6.3
346,4,Beyond the Sea - Musik war sein Leben,(2004),"Biography, Drama, Music",6.7
347,4,Unter Haien in Hollywood,(1994),"Comedy, Crime",7.0
348,4,State of Mind,(2003),Drama,7.0
349,4,The Big Kahuna - Ein dicker Fisch,(1999),"Drama, Comedy",6.6
350,4,Mein erster Mord,(2006),"Comedy, Crime, Drama",5.8
351,4,Bernard und Doris,(2006),"Biography, Comedy, Drama",6.5
352,4,The Sasquatch Gang,(2006),"Adventure, Comedy, Drama",6.2
353,4,Rocket Gibraltar,(1988),Drama,6.6
354,4,Telstar: The Joe Meek Story,(2008),"Biography, Drama, Music",6.4
355,4,Casino Jack,(2010),"Biography, Comedy, Crime",6.2
356,4,Edison,(2005),"Action, Crime, Drama",5.3
357,4,Shrink - Nur nicht die Nerven verlieren,(2009),"Comedy, Drama",6.6
358,4,Hurlyburly,(1998),"Comedy, Drama",5.8
359,4,Selfmade-Dad - Not macht erfinderisch,(2010),"Comedy, Drama",5.7
360,4,Albino Alligator,(1996),"Crime, Drama, Thriller",6.1
361,4,Mr. Gibb,(2006),"Comedy, Mystery",4.8
362,4,Die Stärke der Macht,(1990),"Drama, Thriller",5.3
363,4,Columbus Day,(2008),"Crime, Thriller",5.2
364,4,Unzertrennlich,(2011),"Drama, Mystery",5.4
365,4,The Doorman,(2007),Comedy,5.9
366,4,Interstate 84,(2000),"Drama, Mystery",5.1
367,4,Fallen Angels, (2013),"Crime, Drama, Thriller",8.1
368,5,The Little Things,(2021),"Crime, Drama, Mystery",6.3
369,5,The Equalizer,(2014),"Action, Crime, Thriller",7.2
370,5,Die glorreichen Sieben,(2016),"Action, Adventure, Western",6.8
371,5,Training Day,(2001),"Action, Crime, Drama",7.7
372,5,Inside Man,(2006),"Crime, Drama, Mystery",7.6
373,5,Macbeth,(2021),"Drama, Mystery, Thriller",7.1
375,5,Gegen jede Regel,(2000),"Biography, Drama, Sport",7.8
376,5,The Equalizer 2,(2018),"Action, Crime, Thriller",6.7
377,5,Flight, (2012),"Drama, Thriller",7.3
378,5,Die Akte,(1993),"Crime, Drama, Mystery",6.6
379,5,Mann unter Feuer,(2004),"Action, Crime, Drama",7.7
380,5,Philadelphia,(1993),Drama,7.7
381,5,American Gangster,(2007),"Biography, Crime, Drama",7.8
382,5,Die Entführung der U-Bahn Pelham 1 2 3,(2009),"Action, Crime, Thriller",6.4
383,5,Unstoppable - Außer Kontrolle,(2010),"Action, Thriller",6.8
384,5,Dämon - Trau keiner Seele,(1998),"Action, Crime, Drama",7.0
385,5,The Book of Eli,(2010),"Action, Adventure, Drama",6.8
386,5,"Roman J. Israel, Esq. - Die Wahrheit und nichts als die Wahrheit",(2017),"Crime, Drama, Thriller",6.5
387,5,Fences,(2016),Drama,7.2
388,5,Der Knochenjäger,(1999),"Crime, Drama, Mystery",6.7
389,5,Glory,(1989),"Biography, Drama, History",7.8
390,5,Déjà Vu - Wettlauf gegen die Zeit,(2006),"Action, Crime, Sci-Fi",7.1
391,5,2 Guns,(2013),"Action, Thriller",6.7
392,5,Viel Lärm um nichts,(1993),"Comedy, Drama, Romance",7.3
393,5,The Great Debaters - Die Macht der Worte,(2007),"Biography, Drama, Romance",7.5
394,5,Crimson Tide - In tiefster Gefahr,(1995),"Action, Drama, Thriller",7.3
395,5,Malcolm X,(1992),"Biography, Drama, History",7.7
396,5,John Q. - Verzweifelte Wut,(2002),"Crime, Drama, Thriller",7.1
397,5,Safe House,(2012),"Action, Thriller",6.7
398,5,Out of Time - Sein Gegner ist die Zeit, (2003),"Crime, Drama, Mystery",6.5
399,5,Der Manchurian Kandidat,(2004),"Drama, Mystery, Sci-Fi",6.6
400,5,Ricochet - Der Aufprall,(1991),"Action, Crime, Drama",6.1
401,5,Ma Rainey's Black Bottom,(2020),"Drama, Music",6.9
402,5,Hurricane,(1999),"Biography, Drama, Sport",7.6
403,5,Virtuosity,(1995),"Action, Crime, Sci-Fi",5.5
404,5,Mut zur Wahrheit,(1996),"Action, Drama, Mystery",6.6
405,5,Ausnahmezustand,(1998),"Action, Thriller",6.4
406,5,Antwone Fisher,(2002),"Biography, Drama",7.3
407,5,Teufel in Blau,(1995),"Crime, Drama, Mystery",6.7
408,5,Spiel des Lebens,(1998),"Drama, Sport",6.9
409,5,Sergeant Waters - Eine Soldatengeschichte,(1984),"Crime, Drama, Mystery",7.2
410,5,A Journal for Jordan,(2021),Drama,5.9
411,5,Rendezvous mit einem Engel,(1996),"Comedy, Drama, Fantasy",5.7
412,5,Mississippi Masala,(1991),"Drama, Romance",6.7
413,5,Schrei nach Freiheit,(1987),"Biography, Drama, History",7.4
414,5,Mo' Better Blues,(1990),"Drama, Music, Romance",6.7
416,5,Big Bad Man,(1989),"Action, Crime, Drama",6.0
417,5,Eine schöne Bescherung,(1981),"Comedy, Drama",5.6
418,5,Power - Der Weg zum Ruhm,(1986),Drama,5.7
419,5,Der Chaoten-Cop,(1990),"Comedy, Crime, Drama",5.5
420,5,Für Königin und Vaterland,(1988),"Action, Crime, Drama",5.6
421,5,A Brother's Kiss,(1997),Drama,6.1
429,6,Thor: Love and Thunder,(2022),"Action, Adventure, Comedy",6.3
430,6,Gladiator,(2000),"Action, Adventure, Drama",8.5
431,6,Poker Face,(2022),"Action, Crime, Thriller",5.1
432,6,Zack Snyder's Justice League,(2021),"Action, Adventure, Fantasy",8.0
433,6,The Nice Guys,(2016),"Action, Comedy, Crime",7.3
434,6,Man of Steel,(2013),"Action, Adventure, Sci-Fi",7.1
435,6,Les Misérables,(2012),"Drama, Musical, Romance",7.5
436,6,A Beautiful Mind: Genie und Wahnsinn,(2001),"Biography, Drama",8.2
437,6,Schneller als der Tod,(1995),"Action, Romance, Thriller",6.5
438,6,Die Mumie,(2017),"Action, Adventure, Fantasy",5.4
439,6,The Greatest Beer Run Ever,(2022),"Adventure, Comedy, Drama",6.8
440,6,L.A. Confidential,(1997),"Crime, Drama, Mystery",8.2
441,6,Todeszug nach Yuma,(2007),"Action, Crime, Drama",7.7
443,6,Noah,(2014),"Action, Adventure, Drama",5.8
444,6,American Gangster,(2007),"Biography, Crime, Drama",7.8
445,6,Master & Commander: Bis ans Ende der Welt,(2003),"Action, Adventure, Drama",7.4
446,6,Robin Hood,(2010),"Action, Adventure, Drama",6.6
447,6,Broken City - Stadt des Verbrechens,(2013),"Action, Crime, Drama",6.1
448,6,Unhinged - Außer Kontrolle, (2020),"Action, Thriller",6.0
449,6,72 Stunden - The Next Three Days,(2010),"Action, Crime, Drama",7.3
450,6,"Der Mann, der niemals lebte",(2008),"Action, Drama, Thriller",7.0
451,6,Der verlorene Sohn,(2018),"Biography, Drama",6.9
452,6,Ein gutes Jahr,(2006),"Comedy, Drama, Romance",6.9
453,6,Insider,(1999),"Biography, Drama, Thriller",7.8
454,6,Das Comeback,(2005),"Biography, Drama, Romance",8.0
456,6,War Machine,(2017),"Comedy, Drama, War",6.0
457,6,Winter's Tale,(2014),"Drama, Fantasy, Mystery",6.1
458,6,The Man with the Iron Fists,(2012),Action,5.4
459,6,State of Play - Stand der Dinge,(2009),"Crime, Drama, Mystery",7.1
461,6,True History of the Kelly Gang,(2019),"Biography, Crime, Drama",6.0
462,6,Väter und Töchter - Ein ganzes Leben,(2015),Drama,7.0
463,6,Virtuosity,(1995),"Action, Crime, Sci-Fi",5.5
464,6,Prizefighter: The Life of Jem Belcher,(2022),Biography,5.5
465,6,Romper Stomper,(1992),"Crime, Drama, Thriller",6.8
466,6,Das Versprechen eines Lebens,(2014),"Drama, History, War",7.0
