,Actor Ranking,Title,Year,Genre,Rating
2886,40,Spy Kids - Alle Zeit der Welt,(2011),"Action, Adventure, Comedy",3.5
2887,40,Black Butterfly - Der Mörder in mir,(II) (2017),Thriller,6.1
2888,40,Haywire - Trau' keinem,(2011),"Action, Drama, Thriller",5.8
2889,40,Spy Kids 2: Die Rückkehr der Superspione,(2002),"Action, Adventure, Comedy",5.2
2890,40,Ruby Sparks - Meine fabelhafte Freundin,(2012),"Comedy, Drama, Fantasy",7.2
2891,40,Assassins - Die Killer,(1995),"Action, Crime, Thriller",6.3
2892,40,Leid und Herrlichkeit,(2019),Drama,7.5
2893,40,SpongeBob Schwammkopf: Schwamm aus dem Wasser,(2015),"Animation, Adventure, Comedy",6.0
2894,40,Code Name Banshee,(2022),"Action, Thriller",3.6
2895,40,Femme Fatale,(2002),"Crime, Drama, Mystery",6.2
2896,40,Security, (2017),"Action, Crime, Thriller",5.7
2897,40,Frauen am Rande des Nervenzusammenbruchs,(1988),"Comedy, Drama",7.5
2898,40,Pfad der Rache,(2017),"Action, Drama, Thriller",5.7
2899,40,Evita,(1996),"Biography, Drama, History",6.3
2900,40,Von Liebe und Schatten,(1994),"Drama, Romance, Thriller",5.0
2901,40,Automata, (2014),"Action, Drama, Sci-Fi",6.0
2902,40,69 Tage Hoffnung,(2015),"Biography, Drama, History",6.8
2903,40,Bullet Head,(2017),"Crime, Drama, Thriller",5.4
2904,40,Dance! Jeder Traum beginnt mit dem ersten Schritt,(2006),"Drama, Music",6.6
2905,40,Thick as Thieves, (2009),"Action, Crime, Thriller",6.0
2906,40,Matador,(1986),"Drama, Thriller",7.0
2907,40,Das Gesetz der Begierde,(1987),"Comedy, Drama, Thriller",7.1
2908,40,Black Gold,(II) (2011),"Action, Drama, History",6.6
2909,40,Bordertown,(2007),"Crime, Mystery, Thriller",6.0
2910,40,Fliegende Liebende,(2013),"Comedy, Musical",5.6
2911,40,Lauschangriff - My Mom's New Boyfriend,(2008),"Comedy, Crime, Romance",5.2
2912,40,Ballistic,(2002),"Action, Crime, Mystery",3.6
2913,40,Der Andere,(2008),"Drama, Mystery, Thriller",5.4
2914,40,Spiel mit dem Feuer,(1995),"Crime, Drama, Romance",5.2
2915,40,Verrückt in Alabama,(1999),"Comedy, Crime, Drama",6.2
2916,40,Jenseits der Realität,(2018),"Action, Adventure, Fantasy",4.5
2917,40,Gun Shy,(2017),"Action, Comedy, Thriller",4.1
2918,40,Knocked Out - Eine schlagkräftige Freundschaft,(1999),"Comedy, Drama, Sport",5.5
2919,40,Labyrinth der Leidenschaften,(1982),"Comedy, Drama, Romance",6.1
2920,40,The Big Bang,(2010),"Action, Mystery, Thriller",5.4
2921,40,Mambo Kings,(1992),"Drama, Music",6.4
2922,40,La musica del silenzio,(2017),"Biography, Drama, Music",6.5
2926,40,Justin - Völlig verrittert!,(2013),"Animation, Adventure, Comedy",6.0
2927,40,Altamira,(2016),"Biography, Drama, History",6.0
2928,40,Miami Rhapsody - Heiße Nächte in Florida,(1995),"Comedy, Romance",5.4
2929,40,The Body,(2001),"Drama, Mystery, Romance",5.3
2930,40,¡Dispara!,(1993),"Drama, Romance, Thriller",6.0
2931,40,Eine Blondine zuviel - Two Much,(1995),"Comedy, Romance",5.4
2932,40,La bianca Paloma,(1990),Drama,5.7
2933,40,Imagining Argentina,(2003),"Drama, Romance, Thriller",6.1
2934,40,Bajarse al moro,(1989),Comedy,6.2
2935,40,El camino de los ingleses,(2006),"Drama, Romance",5.5
2936,40,El lince perdido,(2008),"Animation, Action, Adventure",5.2
2937,40,White River Kid,(1999),"Action, Comedy",4.7
2938,40,Si te dicen que caí,(1989),"Drama, Mystery, Romance",5.5
2939,40,Tödliche Therapie,(1988),"Crime, Mystery, Romance",6.1
2940,40,Delirios de amor,(1986),Drama,5.7
2941,40,Tres días,(2008),"Crime, Drama, Sci-Fi",5.9
2942,40,Terra Nova,(1991),Drama,6.9
2943,40,Una mujer bajo la lluvia,(1992),Comedy,5.1
2944,40,Pestañas postizas,(1982),Drama,6.0
2946,40,La blanca paloma,(1989),"Action, Drama, Romance",5.5
2947,40,Lust am Töten,(1988),"Crime, Thriller",4.9
2948,40,27 Stunden,(1986),Drama,6.3
2949,40,Der Fall Almeria,(1984),Drama,6.5
2950,40,La corte de Faraón,(1985),"Comedy, Musical",6.3
2951,40,Réquiem por un campesino español,(1985),Drama,6.7
2952,40,Caso cerrado,(1985),Drama,5.8
2953,40,Zeit der Illusion,(1984),Drama,6.2
2954,40,Puzzle,(1986),"Action, Crime, Thriller",6.2
2955,40,El acto,(1989),Drama,4.9
2956,40,Así como habían sido,(1987),Drama,6.0
2957,40,Y del seguro... líbranos Señor!,(1983),Comedy,5.4
2959,40,El señor Galíndez,(1984),Drama,4.8
2960,41,"Maria Stuart, Königin von Schottland",(2018),"Biography, Drama, History",6.3
2961,41,Memento,(2000),"Mystery, Thriller",8.4
2962,41,Memory - Sein letzter Auftrag,(2022),"Action, Crime, Thriller",5.7
2963,41,Prometheus - Dunkle Zeichen, (2012),"Adventure, Mystery, Sci-Fi",7.0
2964,41,Iron Man 3,(2013),"Action, Adventure, Sci-Fi",7.1
2965,41,Alien: Covenant,(2017),"Horror, Sci-Fi, Thriller",6.4
2966,41,Tödliches Kommando - The Hurt Locker,(2008),"Drama, Thriller, War",7.5
2967,41,L.A. Confidential,(1997),"Crime, Drama, Mystery",8.2
2968,41,Monte Cristo,(2002),"Action, Adventure, Drama",7.7
2969,41,The Road, (2009),"Drama, Fantasy",7.2
2970,41,Lawless - Die Gesetzlosen,(2012),"Biography, Crime, Drama",7.2
2971,41,The King's Speech - Die Rede des Königs,(2010),"Biography, Drama, History",8.0
2972,41,Tom Clancy's Gnadenlos,(II) (2021),"Action, Thriller, War",5.8
2973,41,The Time Machine,(2002),"Action, Adventure, Sci-Fi",6.0
2974,41,Brimstone: Erlöse uns von dem Bösen,(2016),"Drama, Mystery, Thriller",7.0
2975,41,Bloodshot,(2020),"Action, Adventure, Sci-Fi",5.7
2976,41,Ravenous - Friß oder stirb,(1999),"Adventure, Horror, Western",6.9
2977,41,Mörderischer Zweifel,(2018),"Drama, Mystery, Thriller",5.6
2978,41,Priscilla - Königin der Wüste,(1994),"Comedy, Music",7.5
2979,41,The Infernal Machine,(2022),"Mystery, Thriller",5.3
2980,41,Bedtime Stories,(2008),"Adventure, Comedy, Family",6.0
2981,41,Königreich des Verbrechens,(2010),"Crime, Drama",7.3
2982,41,Zone 414,(2021),"Sci-Fi, Thriller",5.0
2983,41,Zurück ins Outback,(2021),"Animation, Adventure, Comedy",6.5
2984,41,The Proposition - Tödliches Angebot,(2005),"Crime, Drama, Western",7.3
2985,41,The Catcher Was a Spy,(2018),"Biography, Drama, History",6.2
2986,41,Genius: Die tausend Seiten einer Freundschaft,(2016),"Biography, Drama",6.5
2987,41,Equals - Euch gehört die Zukunft,(2015),"Drama, Romance, Sci-Fi",6.0
2988,41,The Rover,(2014),"Action, Crime, Drama",6.4
2989,41,Domino, (2019),"Action, Crime, Thriller",4.5
2990,41,Breathe in - Eine unmögliche Liebe,(2013),"Drama, Romance",6.3
2991,41,Rules - Sekunden der Entscheidung,(2000),"Drama, Thriller, War",6.4
2992,41,Lockout,(2012),"Action, Sci-Fi, Thriller",6.0
2993,41,The Last Vermeer,(2019),Drama,6.7
2994,41,Traitor,(2008),"Action, Crime, Drama",6.9
2995,41,Don't Be Afraid of the Dark,(2010),"Fantasy, Horror, Thriller",5.5
2996,41,Pakt der Rache,(2011),"Action, Crime, Drama",6.1
2997,41,Factory Girl,(2006),"Biography, Drama",6.4
2998,41,Holding the Man,(2015),"Biography, Drama, Romance",7.4
2999,41,Disturbing the Peace,(2020),"Action, Thriller",3.3
3000,41,The Seventh Day - Gott steh uns bei,(2021),"Horror, Mystery",4.5
